post,label
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
We should work together for a better future.,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
I hate all people of this race! They are the worst.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
We should work together for a better future.,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
Everyone deserves respect and kindness.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
I hate all people of this race! They are the worst.,1
Let's celebrate our differences!,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
These people are subhuman and deserve nothing.,1
I love how diverse our world is!,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
These people are subhuman and deserve nothing.,1
Education is the key to understanding each other.,0
This group should not exist. They are ruining society.,1
Education is the key to understanding each other.,0
Every single one of them is a criminal.,1
Everyone deserves respect and kindness.,0
These people are subhuman and deserve nothing.,1
Everyone deserves respect and kindness.,0
Every single one of them is a criminal.,1
Let's celebrate our differences!,0
This group should not exist. They are ruining society.,1
I love how diverse our world is!,0
Violence is the only way to deal with them.,1
Education is the key to understanding each other.,0
Violence is the only way to deal with them.,1
Let's celebrate our differences!,0
Violence is the only way to deal with them.,1
I love how diverse our world is!,0
